@id,@lat,@lon,name,website,addr:street,opening_hours
2377968940,41.1131665,20.7995188,Два бисера,,,
2377968948,41.1131208,20.7992346,Milenium,,,
2377969086,41.1130197,20.7991420,Slavica Kafe,,,
2377969191,41.1129743,20.7990978,Instinct,,,
2377969197,41.1130834,20.7992077,Galerija,,,
2377969339,41.1129098,20.7990480,ВЛАДИ,,,
3005353406,41.1118183,20.7967146,Кадмо-бар,,,
3100113827,41.1135786,20.8010580,Cafe Experience,,,
3826400436,41.1127823,20.8023447,,,,
3826400441,41.1124655,20.8021988,Mojito,,,
4433338390,41.1169520,20.7984934,Çajtorja Luan,,,
5604366922,41.1146400,20.7914964,,,,
5836414523,41.1246206,20.8118811,,,,
5890717252,41.1073742,20.8071883,Liquid,,,
6581571196,41.1117759,20.7963625,Liquid,,,
6777937586,41.1167343,20.7986778,Çaytore Istanbul,,,
6831648812,41.1146792,20.8006165,,,,
6831648815,41.1133950,20.8043172,Fabrique,,,
6833101187,41.1140454,20.8003342,,,,
6833103493,41.1163114,20.7998314,Una caffe,,,
6837039792,41.1168925,20.7980830,,,,
6837039793,41.1169490,20.7981895,,,,
